settlement_id,payment_id,amount,settlement_date,status
SET-1103,PAY-1103,26670.00,2026-08-16,SETTLED
SET-1104,PAY-1104,26910.00,2026-08-17,SETTLED
SET-1105,PAY-1105,27150.00,2026-08-03,SETTLED
SET-1106,PAY-1106,27250.00,2026-08-04,SETTLED
SET-1107,PAY-1107,27500.00,2026-08-05,SETTLED
SET-1108,PAY-1108,27750.00,2026-08-06,SETTLED
SET-1109,PAY-1109,28000.00,2026-08-07,SETTLED
SET-1110,PAY-1110,28250.00,2026-08-08,SETTLED
SET-1111,PAY-1111,28500.00,2026-08-09,SETTLED
SET-1112,PAY-1112,28750.00,2026-08-10,SETTLED
SET-1113,PAY-1113,29000.00,2026-08-11,SETTLED
SET-1114,PAY-1114,29250.00,2026-08-12,SETTLED
SET-1115,PAY-1115,29500.00,2026-08-13,SETTLED
SET-1116,PAY-1116,29750.00,2026-08-14,SETTLED
SET-1117,PAY-1117,30000.00,2026-08-15,SETTLED
SET-1118,PAY-1118,30250.00,2026-08-16,SETTLED
SET-1119,PAY-1119,30500.00,2026-08-17,SETTLED
SET-1120,PAY-1120,30750.00,2026-08-03,SETTLED
SET-1121,PAY-1121,31250.00,2026-08-10,SETTLED
SET-1122,PAY-1122,31500.00,2026-08-11,SETTLED
SET-1123,PAY-1123,31750.00,2026-08-12,SETTLED
SET-1124,PAY-1124,32000.00,2026-08-13,SETTLED
SET-1125,PAY-1125,32250.00,2026-08-14,SETTLED
SET-1126,PAY-1126,32500.00,2026-08-15,SETTLED
SET-1127,PAY-1127,32750.00,2026-08-16,SETTLED
SET-1128,PAY-1128,33000.00,2026-08-17,SETTLED
SET-1129,PAY-1129,33250.00,2026-08-18,SETTLED
SET-1130,PAY-1130,33500.00,2026-08-19,SETTLED
SET-1146,PAY-1146,37500.00,2026-08-14,SETTLED
SET-1147,PAY-1147,37750.00,2026-08-15,SETTLED
SET-1148,PAY-1148,38000.00,2026-08-16,SETTLED
SET-1149,PAY-1149,38250.00,2026-08-17,SETTLED
SET-1150,PAY-1150,38500.00,2026-08-03,SETTLED
