payment_id,invoice_id,amount,payment_date,fee,status
PAY-1084,INV-1084,22000.00,2026-08-11,0.00,SUCCESS
PAY-1085,INV-1085,22250.00,2026-08-12,0.00,SUCCESS
PAY-1086,INV-1086,22500.00,2026-08-13,0.00,SUCCESS
PAY-1087,INV-1087,22750.00,2026-08-14,0.00,SUCCESS
PAY-1088,INV-1088,23000.00,2026-08-15,0.00,SUCCESS
PAY-1089,INV-1089,23250.00,2026-08-16,0.00,SUCCESS
PAY-1090,INV-1090,23500.00,2026-08-02,0.00,SUCCESS
PAY-1091,INV-1091,23750.00,2026-08-03,60.00,SUCCESS
PAY-1092,INV-1092,24000.00,2026-08-04,70.00,SUCCESS
PAY-1093,INV-1093,24250.00,2026-08-05,80.00,SUCCESS
PAY-1094,INV-1094,24500.00,2026-08-06,90.00,SUCCESS
PAY-1095,INV-1095,24750.00,2026-08-07,100.00,SUCCESS
PAY-1096,INV-1096,25000.00,2026-08-08,110.00,SUCCESS
PAY-1097,INV-1097,25250.00,2026-08-09,120.00,SUCCESS
PAY-1098,INV-1098,25500.00,2026-08-10,130.00,SUCCESS
PAY-1099,INV-1099,25750.00,2026-08-11,140.00,SUCCESS
PAY-1100,INV-1100,26000.00,2026-08-12,50.00,SUCCESS
PAY-1101,INV-1101,26250.00,2026-08-13,60.00,SUCCESS
PAY-1102,INV-1102,26500.00,2026-08-14,70.00,SUCCESS
PAY-1103,INV-1103,26750.00,2026-08-15,80.00,SUCCESS
PAY-1104,INV-1104,27000.00,2026-08-16,90.00,SUCCESS
PAY-1105,INV-1105,27250.00,2026-08-02,100.00,SUCCESS
PAY-1106,INV-1106,27250.00,2026-08-03,0.00,SUCCESS
PAY-1107,INV-1107,27500.00,2026-08-04,0.00,SUCCESS
PAY-1108,INV-1108,27750.00,2026-08-05,0.00,SUCCESS
PAY-1109,INV-1109,28000.00,2026-08-06,0.00,SUCCESS
PAY-1110,INV-1110,28250.00,2026-08-07,0.00,SUCCESS
PAY-1111,INV-1111,28500.00,2026-08-08,0.00,SUCCESS
PAY-1112,INV-1112,28750.00,2026-08-09,0.00,SUCCESS
PAY-1113,INV-1113,29000.00,2026-08-10,0.00,SUCCESS
PAY-1114,INV-1114,29250.00,2026-08-11,0.00,SUCCESS
PAY-1115,INV-1115,29500.00,2026-08-12,0.00,SUCCESS
PAY-1116,INV-1116,29750.00,2026-08-13,0.00,SUCCESS
PAY-1117,INV-1117,30000.00,2026-08-14,0.00,SUCCESS
PAY-1118,INV-1118,30250.00,2026-08-15,0.00,SUCCESS
PAY-1119,INV-1119,30500.00,2026-08-16,0.00,SUCCESS
PAY-1120,INV-1120,30750.00,2026-08-02,0.00,SUCCESS
PAY-1121,INV-1121,31250.00,2026-08-03,0.00,SUCCESS
PAY-1122,INV-1122,31500.00,2026-08-04,0.00,SUCCESS
PAY-1123,INV-1123,31750.00,2026-08-05,0.00,SUCCESS
PAY-1124,INV-1124,32000.00,2026-08-06,0.00,SUCCESS
PAY-1125,INV-1125,32250.00,2026-08-07,0.00,SUCCESS
PAY-1126,INV-1126,32500.00,2026-08-08,0.00,SUCCESS
PAY-1127,INV-1127,32750.00,2026-08-09,0.00,SUCCESS
PAY-1128,INV-1128,33000.00,2026-08-10,0.00,SUCCESS
PAY-1129,INV-1129,33250.00,2026-08-11,0.00,SUCCESS
PAY-1130,INV-1130,33500.00,2026-08-12,0.00,SUCCESS
PAY-1131,INV-1131,33750.00,2026-08-13,0.00,SUCCESS
PAY-1132,INV-1132,34000.00,2026-08-14,0.00,SUCCESS
PAY-1133,INV-1133,34250.00,2026-08-15,0.00,SUCCESS
PAY-1134,INV-1134,34500.00,2026-08-16,0.00,SUCCESS
PAY-1135,INV-1135,34750.00,2026-08-02,0.00,SUCCESS
PAY-1136,INV-1136,35000.00,2026-08-03,0.00,SUCCESS
PAY-1137,INV-1137,35250.00,2026-08-04,0.00,SUCCESS
PAY-1138,INV-1138,35500.00,2026-08-05,0.00,SUCCESS
PAY-1139,INV-1139,35750.00,2026-08-06,0.00,SUCCESS
PAY-1140,INV-1140,36000.00,2026-08-07,0.00,SUCCESS
PAY-1146,INV-1146,37500.00,2026-08-13,0.00,SUCCESS
PAY-1146-DUP,INV-1146,37500.00,2026-08-13,0.00,SUCCESS
PAY-1147,INV-1147,37750.00,2026-08-14,0.00,SUCCESS
PAY-1147-DUP,INV-1147,37750.00,2026-08-14,0.00,SUCCESS
PAY-1148,INV-1148,38000.00,2026-08-15,0.00,SUCCESS
PAY-1148-DUP,INV-1148,38000.00,2026-08-15,0.00,SUCCESS
PAY-1149,INV-1149,38250.00,2026-08-16,0.00,SUCCESS
PAY-1149-DUP,INV-1149,38250.00,2026-08-16,0.00,SUCCESS
PAY-1150,INV-1150,38500.00,2026-08-02,0.00,SUCCESS
PAY-1150-DUP,INV-1150,38500.00,2026-08-02,0.00,SUCCESS
